Numer og≥oszenia,nazwa zamawiajπcego,Rodzaj zamÛwienia,cpv,Tryb udzielenia zamÛwienia,Ca≥kowita wartoúÊ zamÛwienia bez vat,Liczba otrzymanych ofert,Cena wybranej oferty,Oferta z najniøszπ cenπ,Oferta z najwyøszπ cenπ,wykonawcy
 335326 - 2012, Zamek KrÛlewski w Warszawie - Pomnik Historii i Kultury Narodowej, Roboty budowlane.," 45.00.00.00-7, 45.45.30.00-7, 45.26.26.90-4, 45.26.25.00-6, 45.33.23.00-6, 45.31.22.00-9, 45.31.61.00-6, 45.31.10.00-0.", Przetarg ograniczony," 11130684,43 PLN.", 2.," 4506394,97"," 4506394,97 "," 7758583,62","RENOVA Sp. z o.o. (lider) oraz INS-TOM Sp. z o.o., ul. Brukowa 20, 91-341 £Ûdü, ul. PiÍkna 47, 00-672 Warszawa, kraj/woj. mazowieckie."
 335504 - 2012, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.20.00-2, 71.32.00.00-7.", Przetarg ograniczony," 18700,00 PLN.", 4.," 21156,00"," 21156,00 "," 26961,00","PPHU TELMARK Sp. z o.o., ul. Konstantynowska 83, 95-100 Zgierz, kraj/woj. ≥Ûdzkie."
 335506 - 2012, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.31.43.20-0, 71.32.00.00-7.", Przetarg ograniczony," 20300,00 PLN.", 2.," 23124,00"," 23124,00 "," 34440,00","PPHU TELMARK Sp. z o.o., 95-100, ul. Konstantynowska 83, 95-100 Zgierz, kraj/woj. ≥Ûdzkie."
 336214 - 2012, Narodowy Bank Polski Oddzia≥ OkrÍgowy w Poznaniu, Roboty budowlane.," 45.31.20.00-7, 71.32.00.00-7.", Przetarg ograniczony," 105691,06 PLN.", 2.," 144472,12"," 144472,12 "," 163790,24","ATREM S.A., Z≥otniki ul. Czo≥gowa 4, 62-002 Suchy Las, kraj/woj. wielkopolskie."
 338478 - 2012, Regionalna Dyrekcja LasÛw PaÒstwowych w Radomiu, Roboty budowlane., 45.45.30.00-7., Przetarg ograniczony," 441758,78 PLN.", 1.," 368854,68"," 368854,68 "," 368854,68","Zak≥ad Budowlano-Us≥ugowo-Handlowy Jerzy Michalski, ul. M.C. Sk≥odowskiej 17a/10, 26-600 Radom, kraj/woj. mazowieckie."
 338718 - 2012, Wojskowy Zarzπd Infrastruktury w Poznaniu, Roboty budowlane., 74.84.30.00-0., Przetarg ograniczony," 483570,00 PLN.", 1.," 294340,00"," 294340,00 "," 294340,00","Wojskowe Biuro ProjektÛw Budowlanych, Al. Niepodleg≥oúci 53, PoznaÒ, kraj/woj. Polska."
 195657 - 2012, Gmina Giera≥towice, Roboty budowlane.," 45.23.24.52-5, 45.24.60.00-3.", Przetarg ograniczony," 142811,55 PLN.", 3.," 67283,89"," 67283,89 "," 134070,00","PHU AQUA s.c. Jerzy, Rados≥aw Juüwin, ul. Gen. Ch. De Gaullea 8, 43-100 Tychy, kraj/woj. úlπskie."
 197141 - 2012, Zarzπd DrÛg Powiatowych w Poznaniu, Roboty budowlane., 45.23.32.20-7., Przetarg ograniczony," 675908,71 PLN.", 5.," 533003,53"," 533003,53 "," 702003,82","Zak≥ad Wielobranøowy TRANS-BRUK Marek Begier, ul. Wiosny LudÛw 58, 62-330 Nekla, kraj/woj. wielkopolskie."
 345002 - 2012, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.23.00-5, 45.30.00.00-0.", Przetarg ograniczony," 1193600,00 PLN.", 2.," 1339470,00"," 1339470,00 "," 1476000,00","PPHU TELMARK Sp. z o.o., ul. Konstantynowska 83a, 95-100 Zgierz, kraj/woj. ≥Ûdzkie."
 348430 - 2012, Centrum Psychiatrii w Katowicach, Roboty budowlane.," 45.33.11.10-0, 45.33.30.00-0.", Przetarg ograniczony," 67411,17 PLN.", 1.," 81715,25"," 81715,25 "," 81715,25","BUDOCHEM S.c. A.Dela, J.Karcz,, ul.Pawia 4/51, 41-200 Sosnowiec, kraj/woj. úlπskie."
 348532 - 2012, Centrum Psychiatrii w Katowicach, Roboty budowlane., 45.21.51.40-0., Przetarg ograniczony," 36108,01 PLN.", 2.," 44117,27"," 44117,27 "," 75291,82","JAMAR-BUD Jacek Kalla, ul.Chorzowska 44 B, 44-100 Gliwice, kraj/woj. úlπskie."
 348740 - 2012, Centrum Psychiatrii w Katowicach, Roboty budowlane.," 45.21.51.40-0, 45.31.12.00-2, 45.32.00.00-6, 45.32.10.00-3, 45.33.00.00-9, 45.33.12.10-1.", Przetarg ograniczony," 750566,35 PLN.", 3.," 922432,17"," 922432,17 "," 989229,35","AKCES BUDOWY Sp. z o.o., ul.Zielona 11, 42-502 Czechowice-Dziedzice, kraj/woj. úlπskie."
 349916 - 2012, Prywatny Zarzπd Mieszkaniami Sp. z o.o., Roboty budowlane.," 45.00.00.00-7, 45.30.00.00-0, 45.45.30.00-7, 45.32.00.00-6.", Przetarg ograniczony," 64347,90 PLN.", 5.," 58816,16"," 58816,16 "," 89769,76","FER-BUD Sp. z o.o., ul. Obornicka 49/8, 54-113 Wroc≥aw, kraj/woj. dolnoúlπskie."
 353620 - 2012, Urzπd Miasta Bydgoszczy, Roboty budowlane.," 45.21.22.12-5, 45.45.30.00-7, 45.23.13.00-8, 45.33.11.00-7, 45.33.12.00-8, 45.33.20.00-3, 45.33.11.10-0, 45.33.22.00-5, 45.31.12.00-2, 45.31.21.00-8, 45.31.70.00-2, 45.31.22.00-9, 45.31.43.20-0, 45.31.23.20-6, 31.62.00.00-8.", Przetarg ograniczony," 11422791,34 PLN.", 9.," 6860696,89"," 6860696,89 "," 9442999,06","PrzedsiÍbiorstwo Budowlano-Us≥ugowe BUDOPOL SpÛ≥ka Akcyjna, ul. FordoÒska 199, 85-739 Bydgoszcz, kraj/woj. kujawsko-pomorskie."
 353964 - 2012, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.33.00.00-9, 45.26.26.10-0, 45.31.00.00-3.", Przetarg ograniczony," 275027,73 PLN.", 1.," 337499,49"," 337499,49 "," 337499,49","AJM Sp. z o.o., ul. SynÛw Pu≥ku 37A, GdaÒsk, kraj/woj. Polska."
 355174 - 2012, Zarzπd DrÛg Powiatowych w Poznaniu, Roboty budowlane., 45.23.32.20-7., Przetarg ograniczony," 522836,30 PLN.", 4.," 269990,99"," 269990,99 "," 325163,69","Zak≥ad Wielobranøowy TRANS-BRUK Marek Begier, ul. Wiosny LudÛw 58, 62-330 Nekla, kraj/woj. wielkopolskie."
 357606 - 2012, Regionalny Zarzπd Gospodarki Wodnej we Wroc≥awiu, Roboty budowlane.," 45.24.00.00-1, 45.24.64.00-7, 45.24.36.00-8, 45.24.60.00-3.", Przetarg ograniczony," 45573770,49 PLN.", 5.," 36263989,88"," 36263989,88 "," 51894410,44","JV firm: HYDROBUDOWA GDA—SK S.A., Zakl·d·nÌ staveb, a.s., ul. Grunwaldzka 135, 80-264 GdaÒsk, kraj/woj. pomorskie."
 204099 - 2012, Wojskowy Zarzπd Infrastruktury w Poznaniu, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 2459650,00 PLN.", 3.," 1671581,65"," 1671581,65 "," 2030530,00","Konsorcjum PrzedsiÍbiorstwo Telekomunikacyjne Telbud - OPGK GEOMAP, ul Krauthofera 23, PoznaÒ, kraj/woj. Polska."
 361624 - 2012, Centrum Us≥ug WspÛlnych, Roboty budowlane.," 45.26.13.20-3, 45.44.23.00-0.", Przetarg ograniczony," 1720000,00 PLN.", 1.," 2115600,00"," 2115600,00 "," 2115600,00","AMP Sp. z o.o., ul. Sarmacka 5G, 02-972 Warszawa, kraj/woj. mazowieckie."
 174959 - 2012, Mazowiecki Urzπd WojewÛdzki, Roboty budowlane.," 45.10.00.00-8, 45.40.00.00-1, 45.23.13.00-8, 45.23.30.00-9, 45.11.27.00-2.", Przetarg ograniczony," 1466412,54 PLN.", 2.," 1521339,79"," 1521339,79 "," 1699133,56","WK INWEST Sp. z o.o., ul. Przybyszewskiego 38 lok. 1, 01-824 Warszawa, kraj/woj. mazowieckie."
 175337 - 2012, Regionalny Zarzπd Gospodarki Wodnej we Wroc≥awiu, Roboty budowlane.," 45.24.00.00-1, 45.24.64.00-7, 45.24.36.00-8, 45.24.60.00-3.", Przetarg ograniczony," 326395082,00 PLN.", 3.," 279085663,48"," 279085663,48 "," 292449162,34","JV firm: Energopol-Szczecin S.A., JSC AZERKORPU, ul. åw. Floriana 9/13, 70-646 Szczecin, kraj/woj. kujawsko-pomorskie."
 176345 - 2012, Uniwersytet Medyczny, Roboty budowlane.," 45.21.44.00-4, 45.21.46.10-9.", Przetarg ograniczony," 13109744,52 PLN.", 3.," 13768112,37"," 13768112,37 "," 17719020,52","CONDITE SpÛ≥ka z ograniczonπ odpowiedzialnoúciπ S.K.A., ul. Piotrkowska 12, 25-510 Kielce, kraj/woj. úwiÍtokrzyskie."
 176401 - 2012, Urzπd Miasta Bydgoszczy, Roboty budowlane.," 45.21.32.52-4, 45.31.00.00-1, 45.33.00.00-9.", Przetarg ograniczony," 398368,53 PLN.", 6.," 267137,35"," 267137,35 "," 447868,70","PrzedsiÍbiorstwo Wielobranøowe PUBR Sp. z o.o., ul. ToruÒska 109, 85-844 Bydgoszcz, kraj/woj. kujawsko-pomorskie."
 176511 - 2012, Urzπd Miasta i Gminy Mrocza, Roboty budowlane., 45.21.22.20-4., Przetarg ograniczony," 1580199,57 PLN.", 3.," 1560400,35"," 1560400,35 "," 2000000,20","PrzedsiÍbiorstwo Us≥ug Miejskich PUMAK Sp. z o.o., ul. KcyÒska 45, 89-200 Szubin, kraj/woj. kujawsko-pomorskie."
 302226 - 2012, Nadleúnictwo Jedwabno, Roboty budowlane.," 45.45.30.00-7, 45.11.13.00-1, 45.26.23.00-4, 45.32.00.00-6, 45.42.11.00-5, 45.42.11.44-5, 45.42.11.52-4, 45.43.21.10-8, 45.45.00.00-6, 45.31.00.00-3, 45.33.00.00-9, 45.33.11.00-7, 45.23.32.00-1, 45.34.20.00-6.", Przetarg ograniczony," 260797,34 PLN.", 2.," 239689,49"," 239689,49 "," 299451,76","Us≥ugi Remontowo-Budowlane, Andrzej Cytruk, ul. WarmiÒska 8/3, 12-122 Jedwabno, kraj/woj. warmiÒsko-mazurskie."
 304272 - 2012, Miejskie PrzedsiÍbiorstwo Oczyszczania w m.st. Warszawie Sp. z o.o., Roboty budowlane.," 45.45.30.00-7, 45.11.11.00-9, 45.11.13.00-1, 45.31.00.00-3, 45.33.12.11-8, 45.44.21.00-8, 45.42.11.00-5, 45.26.10.00-4.", Przetarg ograniczony," 3963622,86 PLN.", 3.," 3686142,71"," 3686142,71 "," 4872500,09","AMAT Sp. z o.o., Ratuszowa 11, 03-450 Warszawa, kraj/woj. mazowieckie."
 305950 - 2012, Prywatny Zarzπd Mieszkaniami Sp. z o.o., Roboty budowlane.," 45.00.00.00-7, 45.26.00.00-7, 45.45.30.00-7.", Przetarg ograniczony," 191669,46 PLN.", 2.," 198003,19"," 198003,19 "," 208300,01","MolÍda Building Group Krzysztof MolÍda, Podlasek 8a, 28-130 Stopnica, kraj/woj. úwiÍtokrzyskie."
 180501 - 2012, Gmina Giera≥towice, Roboty budowlane.," 45.00.00.00-7, 45.23.32.20-7.", Przetarg ograniczony," 93434,79 PLN.", 3.," 49834,79"," 49834,79 "," 55936,14","Firma Kamrat s.c. Katarzyna Janisz, Dawid Sojka, ul. Wodzis≥awska 1, 43-245 Studzionka, kraj/woj. úlπskie."
 180647 - 2012, Gmina Giera≥towice, Roboty budowlane.," 45.00.00.00-7, 45.23.32.20-7.", Przetarg ograniczony," 106853,28 PLN.", 2.," 60748,38"," 60748,38 "," 66731,47","PUH DOMAX Arkadiusz Mika, Ul. GrabiÒska 8, 42-283 BoronÛw, kraj/woj. úlπskie."
 308566 - 2012, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.10.00-5, 45.23.20.00-2, 45.31.42.00-3, 45.31.22.00-9.", Przetarg ograniczony," 1330911,70 PLN.", 5.," 614877,00"," 614877,00 "," 1159108,00","PPHU TELMARK Sp. z o.o., ul. Konstantynowska 83a, 95-100 Zgierz, kraj/woj. ≥Ûdzkie."
 308758 - 2012, Wojskowy Zarzπd Infrastruktury w Poznaniu, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 678000,00 PLN.", 3.," 572639,92"," 572639,92 "," 695002,61","HERTZ SYSTEMS LTD Sp. z o.o., Al. Zjednoczenia 118A, Zielona GÛra, kraj/woj. Polska."
 313390 - 2012, Miejskie PrzedsiÍbiorstwo Oczyszczania Sp. z o.o., Roboty budowlane.," 45.26.26.90-4, 45.33.00.00-9, 45.33.10.00-6, 45.31.43.20-0, 45.32.00.00-6.", Przetarg ograniczony," 440000,00 PLN.", 2.," 558083,26"," 558083,26 "," 5755889,26","Firma Janex Sp. z o.o., , 31 - 580 KrakÛw, ul. Franciszka WÍøyka 26, 31-580 KrakÛw, kraj/woj. ma≥opolskie."
 315106 - 2012, OúwiÍcimskie Towarzystwo Budownictwa Spo≥ecznego Sp. z o.o., Roboty budowlane., 45.21.10.00-9., Przetarg ograniczony," 1400000,00 PLN.", 2.," 1155083,29"," 1155083,29 "," 1497029,90","Zak≥ad Budowlano- Montaøowy PROBUD Sp. z o.o., ul. Leúnianka 101, 34-300 Øywiec, kraj/woj. úlπskie."
 319914 - 2012, Narodowy Bank Polski Oddzia≥ OkrÍgowy w Zielonej GÛrze, Roboty budowlane.," 45.00.00.00-7, 45.44.11.52-4, 45.43.21.11-5, 45.42.11.53-1, 45.31.12.00-2, 45.26.25.12-3.", Przetarg ograniczony," 142406,50 PLN.", 3.," 171025,12"," 171025,12 "," 437818,61","Romuald Paszkowski Budownictwo OgÛlne PASZKOWSKI, ul. Cytrynowa 9, 65-160 Zielona GÛra, kraj/woj. lubuskie."
 321494 - 2012, Biblioteka Narodowa, Roboty budowlane.," 45.32.00.00-6, 45.26.26.60-5, 45.32.40.00-4, 45.42.10.00-4, 45.42.11.30-4, 45.33.11.00-7, 45.31.12.00-2, 45.31.60.00-5, 45.11.13.00-1.", Przetarg ograniczony," 17723577,24 PLN.", 1.," 33022056,00"," 33022056,00 "," 33022056,00","ZAB-BUD Andrzej Zaboklicki, ul. Nowosielecka 14A/3, 00-466 Warszawa, kraj/woj. mazowieckie."
 326368 - 2012, ZespÛ≥ Medycznych SzkÛ≥ Policealnych, Roboty budowlane.," 45.33.00.00-9, 45.33.11.00-7, 45.33.24.00-7.", Przetarg ograniczony," 101289,90 PLN.", 2.," 64819,87"," 64819,87 "," 69591,46","HYDROS PrzedsiÍbiorstwo Sanitarno-Budowlane Marian Saletra, ul. KulczyÒskiego 14 p. 31, 02-777 Warszawa, kraj/woj. mazowieckie."
 329134 - 2012, Gmina Miejska Nowe Miasto Lubawskie, Roboty budowlane.," 45.00.00.00-7, 45.30.00.00-0, 45.11.12.20-6, 45.33.11.10-0, 09.33.20.00-5.", Przetarg ograniczony," 237555,24 PLN.", 3.," 231000,00"," 231000,00 "," 339291,00","Firma Handlowo - Us≥ugowa Wojciech Dudulski, ul. JagielloÒska 24a, 13-300 Nowe Miasto Lubawskie, kraj/woj. warmiÒsko-mazurskie."
 329342 - 2012, Instytut Botaniki im. W. Szafera Polskiej Akademii Nauk, Roboty budowlane.," 45.00.00.00-7, 45.43.21.00-5, 45.40.00.00-1, 45.31.00.00-3, 45.33.00.00-9.", Przetarg ograniczony," 392598,14 PLN.", 3.," 354713,33"," 354713,33 "," 565560,73","PrzedsiÍbiorstwo Produkcyjno-Us≥ugowo-Handlowe WIKPOL, ul. Koúcielna 59, 33-370 Muszyna, kraj/woj. ma≥opolskie."
 329946 - 2012, Regionalny Zarzπd Gospodarki Wodnej we Wroc≥awiu, Roboty budowlane.," 45.24.00.00-1, 45.24.64.00-7, 45.24.36.00-8, 45.24.60.00-3.", Przetarg ograniczony," 78032786,89 PLN.", 4.," 54448495,15"," 54448495,15 "," 118541218,55","JV firm: PrzedsiÍbiorstwo RobÛt Inøynieryjnych POL-AQUA S.A., DRAGADOS S.A., ul. Adama Branickiego 15, 02-972 Warszawa, kraj/woj. mazowieckie."
 270348 - 2012, Starostwo Powiatowe w Z≥otowie, Roboty budowlane., 45.42.11.30-4., Przetarg ograniczony," 323760,60 PLN.", 4.," 244321,67"," 244321,67 "," 343693,98","PPHU TEOKNA, Dzikowo 56, 78-600 Wa≥cz, kraj/woj. zachodniopomorskie."
 273050 - 2012, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.11.12.00-0, 45.11.11.00-9, 45.10.00.00-8, 45.23.31.20-6, 45.23.33.00-2, 45.23.32.52-0, 45.23.33.00-1, 45.22.31.00-7, 45.22.35.00-1, 45.23.32.50-6, 45.26.13.20-3, 45.26.23.50-0, 45.32.00.00-6, 45.42.11.41-4, 45.42.11.48-3, 45.44.22.00-9, 45.23.13.00-0, 45.31.11.00-1, 45.31.00.00-3, 45.31.60.00-5.", Przetarg ograniczony," 4993512,14 PLN.", 5.," 3993386,96"," 3993386,96 "," 4983964,87","ZRU MONTEX, ul. StrzebieliÒska 66, Luzino, kraj/woj. Polska."
 274872 - 2012, Politechnika £Ûdzka, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 176733,70 PLN.", 2.," 165073,00"," 158066,43 "," 165073,00","P.H.B. ZAMBUD II Bart≥omiej Biniek, ul. OksiÒskiego 62, 98-200 Sieradz, kraj/woj. ≥Ûdzkie."
 164793 - 2012, Szpital Czerniakowski S.P.Z.O.Z., Roboty budowlane.," 45.00.00.00-7, 45.21.51.40-0.", Przetarg ograniczony," 2040650,00 PLN.", 4.," 2999486,73"," 2999486,73 "," 3597002,14","Zak≥ad Remontowo Budowlany - EXPOBUD - Micha≥ Cierlica, ul. G≥owackiego 39, 05-200 Wo≥omin, kraj/woj. mazowieckie."
 277134 - 2012, Urzπd Miasta Bydgoszczy, Roboty budowlane., 45.21.22.20-4., Przetarg ograniczony," 1343450,92 PLN.", 6.," 1085590,00"," 1085590,00 "," 2375279,89","Konsorcjum firm: PPB PREFABET - BIA£E B£OTA S.A., ul. Betonowa 1, 86-005 Bia≥e B≥ota, kraj/woj. kujawsko-pomorskie."
 279536 - 2012, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 54.31.43.20-0, 71.32.00.00-7.", Przetarg ograniczony," 194900,00 PLN.", 3.," 245877,00"," 245877,00 "," 265926,00","Lubelskie PrzedsiÍbiorstwo RobÛt Telekomunikacyjnych S.A., ul. EnergetykÛw 27, 20-468 Lublin, kraj/woj. lubelskie."
 279548 - 2012, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 54.31.43.20-0, 71.32.00.00-7.", Przetarg ograniczony," 29600,00 PLN.", 4.," 42681,00"," 42681,00 "," 63087,93","Luksor Sp. z o.o., ul. Tartakowa 20, 42-200 CzÍstochowa, kraj/woj. úlπskie."
 282526 - 2012, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.23.20.00-2, 45.31.51.00-9, 45.31.43.20-0, 71.32.00.00-4.", Przetarg ograniczony," 708300,00 PLN.", 4.," 380730,51"," 380730,51 "," 639563,30","ATEM -Polska Sp. z o.o., ul. £uøycka 2, 81-537 Gdynia, kraj/woj. pomorskie."
 282880 - 2012, Zarzπd DrÛg Powiatowych w årodzie Wlkp., Roboty budowlane.," 45.11.00.00-1, 45.23.00.00-8.", Przetarg ograniczony," 520076,56 PLN.", 4.," 517018,98"," 517018,98 "," 610648,79","PrzedsiÍbiorstwo RobÛt Drogowych DROBUD SpÛ≥ka Akcyjna, ul. PoznaÒska 71a, 63-200 Jarocin, kraj/woj. wielkopolskie."
 284338 - 2012, Urzπd Miasta i Gminy Mrocza, Roboty budowlane., 45.21.22.20-4., Przetarg ograniczony," 1024128,19 PLN.", 2.," 1000477,20"," 1000477,20 "," 1291432,63","PrzedsiÍbiorstwo Us≥ug Miejskich PUMAK Sp. z o.o., ul. KcyÒska 45, 89-200 Szubin, kraj/woj. kujawsko-pomorskie."
 286296 - 2012, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.31.43.20-0, 45.20.00.00-9, 45.30.00.00-0, 45.40.00.00-1.", Przetarg ograniczony," 835800,00 PLN.", 3.," 1458871,02"," 1380000,00 "," 1624013,83","ASSECO Poland S.A., Olchowa 14, 35-322 RzeszÛw, kraj/woj. podkarpackie."
 286506 - 2012, Gmina Ruja, Roboty budowlane., 45.00.00.00-7., Przetarg ograniczony," 152953,71 PLN.", 3.," 118900,00"," 118900,00 "," 134000,00","PrzedsiÍbiorstwo Produkcyjno-Us≥ugowe HEMIZ Sp. z o. o., ul. Koúciuszki 6, 59-230 Prochowice, kraj/woj. dolnoúlπskie."
 288664 - 2012, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.00.00.00-7, 45.11.11.00-9, 45.11.30.00-2, 45.31.00.00-3, 45.20.00.00-9, 45.23.00.00-8.", Przetarg ograniczony," 558313,95 PLN.", 2.," 429383,97"," 429383,97 "," 584248,27","Z.U.R.M.R. SCHRON-WENT Beata Matczak, Nowa Ruda 3, 86-011 Wtelno, kraj/woj. kujawsko-pomorskie."
 171303 - 2012, PaÒstwowa Wyøsza Szko≥a Zawodowa w Nowym Sπczu, Roboty budowlane.," 45.21.22.25-9, 45.21.24.11-0, 45.31.56.00-4, 41.31.57.00-5, 45.31.60.00-5, 48.15.10.00-1, 35.12.17.00-5, 45.33.12.10-1, 42.50.00.00-1, 45.33.12.30-7.", Przetarg ograniczony," 6008208,11 PLN.", 1.," 6823545,53"," 6823545,53 "," 6823545,53","EIFFAGE Budownictwo Mitex S.A. z siedzibπ: ul. PostÍpu 5a, 02-676 Warszawa - Oddzia≥ KrakÛw, ul. Bratys≥awska 1 a, 31-201 KrakÛw, kraj/woj. ma≥opolskie."
 291780 - 2012, Sπd Apelacyjny w Katowicach, Roboty budowlane., 45.45.30.00-7., Przetarg ograniczony," 508818,80 PLN.", 1.," 595143,23"," 595143,23 "," 595143,23","PrzedsiÍbiorstwo Wielobranøowe Albud Sp. z o.o., ul. Wilsona 24, 44-190 KnurÛw, kraj/woj. úlπskie."
 292306 - 2012, Resortowe Centrum Zarzπdzania Sieciami i Us≥ugami Teleinformatycznymi, Roboty budowlane.," 45.31.43.00-4, 45.23.23.10-8, 45.45.30.00-7.", Przetarg ograniczony," 1310200,00 PLN.", 3.," 1524585,00"," 1524585,00 "," 1990140,00","PRODUS S.A., ul. Bystrzycka 69c, 54-215 Wroc≥aw, kraj/woj. dolnoúlπskie."
 172443 - 2012, Urzπd Gminy £ysomice, Roboty budowlane., 45.23.24.10-9., Przetarg ograniczony," 3148609,35 PLN.", 5.," 3868324,54"," 3868324,54 "," 4103767,60","Lider Konsorcjum Zak≥ad Us≥ug Melioracyjnych i Geodezyjnych - Piotr Rojek, ul. DrwÍcka 9, 87-400 Golub-DobrzyÒ, kraj/woj. kujawsko-pomorskie."
 172545 - 2012, Instytut Reumatologii im. prof. dr hab.med. Eleonory Reicher, Roboty budowlane.," 45.00.00.00-7, 45.45.00.00-6.", Przetarg ograniczony," 5591238,13 PLN.", 3.," 4850420,96"," 4850420,96 "," 5576810,11","Polbud S.A., Øwirki i Wigury 61, 17-100 Bielsk Podlaski, kraj/woj. podlaskie."
 298976 - 2012, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.20.00.00-9, 45.40.00.00-1, 45.43.21.30-4, 45.44.21.00-8, 45.33.00.00-9, 45.31.23.11-0, 45.31.11.00-1, 45.31.12.00-2, 45.31.43.20-0.", Przetarg ograniczony," 214716,36 PLN.", 2.," 239576,48"," 239576,48 "," 255000,00","Konsorcjum firm: MONTEX i Control Net Sp z o. o., StrzebieliÒska 66, Luzino, kraj/woj. Polska."
 299728 - 2012, Gmina Ruja, Roboty budowlane.," 45.00.00.00-7, 45.10.00.00-8, 45.23.00.00-8.", Przetarg ograniczony," 2198411,73 PLN.", 5.," 2089361,07"," 2089361,07 "," 2375494,08","PrzedsiÍbiorstwo Produkcyjno-Us≥ugowe HEMIZ Sp. z o. o., ul. Koúciuszki 6, 59-230 Prochowice, kraj/woj. dolnoúlπskie."
 255026 - 2012," ""POLTEGOR-INSTYTUT"" Instytut GÛrnictwa Odkrywkowego", Roboty budowlane.," 45.00.00.00-7, 38.50.00.00-7, 38.90.00.00-4, 45.21.40.00-0.", Przetarg ograniczony," 7560000,00 PLN.", 1.," 6150000,00"," 6150000,00 "," 6150000,00","Us≥ugi Wiertniczo-Geologiczne Ma≥gorzata Krynicka, ul. SiemieÒskiego 10/6, 50-226 Wroc≥aw, kraj/woj. dolnoúlπskie."
 255754 - 2012, Towarzystwo Budownictwa Spo≥ecznego PrzedsiÍbiorstwo Mieszkaniowe w Kroúnie sp. z o.o., Roboty budowlane., 45.21.00.00-2., Przetarg ograniczony," 110000,00 PLN.", 3.," 106274,60"," 106274,60 "," 133325,76","KES-BUD Krzysztof Basamania, 38-126 Markuszowa, 38-126 MArkuszowa 60, kraj/woj. podkarpackie."
 255884 - 2012, ZespÛ≥ Szkolno-Przedszkolny w Przyszowicach, Roboty budowlane.," 45.00.00.00-7, 71.32.00.00-7, 45.11.27.23-9, 37.53.52.00-9.", Przetarg ograniczony," 187723,58 PLN.", 2.," 207870,00"," 207870,00 "," 222960,66","ZAK£AD US£UG OGRODNICZYCH CELMAR Sp. z o.o., ul. åw. Cyryla i Metodego 50, 41-909 Bytom, kraj/woj. úlπskie."
 255916 - 2012, Zarzπd DrÛg Powiatowych w Poznaniu, Roboty budowlane., 45.23.31.42-6., Przetarg ograniczony," 227710,25 PLN.", 1.," 134820,25"," 134820,25 "," 134820,25","Us≥ugi Agrotechniczno - Transportowe, ZieleÒ i Drogownictwo Ryszard Begier, ul. Polna 1A, 62-330 Nekla, kraj/woj. wielkopolskie."
 255954 - 2012, Rejonowy Zarzπd Infrastruktury, Roboty budowlane.," 45.11.23.30-7, 45.11.12.00-0, 45.32.00.00-6, 45.40.00.00-1, 45.22.00.00-5, 45.31.11.00-1, 45.31.12.00-2.", Przetarg ograniczony," 2396446,06 PLN.", 1.," 2697932,26"," 2697932,26 "," 2697932,26","ELWOZ sp. z o.o., Szklana 44, Miechucino, kraj/woj. Polska."
 156587 - 2012, WojewÛdzki Inspektorat Ochrony årodowiska w £odzi, Roboty budowlane.," 45.00.00.00-7, 45.33.20.00-3, 45.31.00.00-3, 45.23.32.26-9.", Przetarg ograniczony," 325203,25 PLN.", 3.," 352330,69"," 352330,69 "," 408649,28","P.B.H.U PRIMBUD, ul. Teczowa 17, 91-502 £Ûdü, kraj/woj. ≥Ûdzkie."
 257146 - 2012, Muzeum w Bielsku-Bia≥ej, Roboty budowlane.," 45.45.30.00-7, 45.23.13.00-8, 45.33.11.00-7.", Przetarg ograniczony," 7428937,65 PLN.", 1.," 9488695,65"," 9488695,65 "," 9488695,65","Konsorcjum: Gliwickie PrzedsiÍbiorstwo Budownictwa Przemys≥owego, Plac PiastÛw 10, 44-100 Gliwice, kraj/woj. úlπskie."
